timestamp,temp_c,temp_valid,hum_pct,dist_cm,too_close
2/6/2026 18:08,28.1,28.1,10,,FALSE
2/6/2026 18:08,28.9,28.9,10,,FALSE
2/6/2026 18:08,28.3,28.3,10,,FALSE
2/6/2026 18:08,28.7,28.7,10,,FALSE
2/6/2026 18:08,28.6,28.6,10,,FALSE
2/6/2026 18:08,28.9,28.9,10,,FALSE
2/6/2026 18:08,28.3,28.3,10,,FALSE
2/6/2026 18:08,28.1,28.1,10,,FALSE
2/6/2026 18:08,28.6,28.6,10,,FALSE
2/6/2026 18:08,28.5,28.5,10,,FALSE
2/6/2026 18:08,28.7,28.7,10,,FALSE
2/6/2026 18:08,28.1,28.1,10,,FALSE
2/6/2026 18:08,28.1,28.1,10,,FALSE
2/6/2026 18:08,28.6,,10,8,TRUE
2/6/2026 18:09,28.5,,10,9,TRUE
2/6/2026 18:09,28.8,28.8,10,,FALSE
2/6/2026 18:09,28.2,,10,12,TRUE
2/6/2026 18:09,28.1,,10,19,TRUE
2/6/2026 18:09,28,28,10,,FALSE
2/6/2026 18:09,28.8,28.8,10,,FALSE
2/6/2026 18:09,28.7,28.7,10,,FALSE
2/6/2026 18:09,28.1,28.1,10,,FALSE
2/6/2026 18:09,28.9,28.9,10,,FALSE
2/6/2026 18:09,28.5,28.5,10,,FALSE
2/6/2026 18:09,28.7,28.7,10,,FALSE
2/6/2026 18:09,28.2,28.2,10,,FALSE
2/6/2026 18:09,28.1,28.1,10,,FALSE
2/6/2026 18:09,28,28,10,39,FALSE
2/6/2026 18:09,28.3,28.3,10,,FALSE
2/6/2026 18:09,28.7,28.7,10,88,FALSE
2/6/2026 18:09,28.1,28.1,10,88,FALSE
2/6/2026 18:09,28.9,28.9,10,,FALSE
2/6/2026 18:09,28.3,28.3,10,36,FALSE
2/6/2026 18:09,28.2,28.2,10,37,FALSE
2/6/2026 18:09,28.5,28.5,10,,FALSE
2/6/2026 18:09,28.7,28.7,10,,FALSE
2/6/2026 18:09,28.1,28.1,10,,FALSE
2/6/2026 18:09,28.5,28.5,10,,FALSE
2/6/2026 18:09,28.8,28.8,10,90,FALSE
2/6/2026 18:09,28.8,28.8,10,89,FALSE
2/6/2026 18:09,28.8,28.8,10,89,FALSE
2/6/2026 18:09,28.8,28.8,10,87,FALSE
2/6/2026 18:09,28.8,28.8,10,88,FALSE
2/6/2026 18:09,28.4,28.4,10,219,FALSE
2/6/2026 18:10,28.2,28.2,10,88,FALSE
2/6/2026 18:10,28.8,28.8,10,88,FALSE
2/6/2026 18:10,28.8,28.8,10,89,FALSE
2/6/2026 18:10,28.8,28.8,10,39,FALSE
2/6/2026 18:10,28.4,28.4,10,,FALSE
2/6/2026 18:10,28.6,28.6,10,,FALSE
2/6/2026 18:10,28.6,28.6,10,,FALSE
2/6/2026 18:10,28.5,28.5,10,38,FALSE
2/6/2026 18:10,28.4,28.4,10,,FALSE
2/6/2026 18:10,28.6,28.6,10,38,FALSE
2/6/2026 18:10,28.5,28.5,10,38,FALSE
2/6/2026 18:10,28.7,28.7,10,37,FALSE
2/6/2026 18:10,28.7,28.7,10,37,FALSE
2/6/2026 18:10,28.7,28.7,10,39,FALSE
2/6/2026 18:10,28.2,28.2,10,,FALSE
2/6/2026 18:10,28.8,28.8,10,,FALSE
2/6/2026 18:10,28.3,28.3,10,,FALSE
2/6/2026 18:10,28.2,28.2,10,,FALSE
2/6/2026 18:10,28.1,28.1,10,37,FALSE
2/6/2026 18:10,28.1,28.1,10,38,FALSE
